ID	target_word	EN_source	OPUS-MT_DE	salient_words	POS
48	maestro	"As my colleague Mark Landler put it: ""In Switzerland, the Lucerne music festival canceled two symphony concerts featuring a Russian maestro."	"Mein Kollege Mark Landler sagte: ""In der Schweiz hat das Luzerner Musikfestival zwei Sinfoniekonzerte mit einem russischen Maestro abgesagt."	"featuring; Russian"	"VERB; ADJ"
49	construction worker	As any construction worker will tell you, digging is hard work and tea breaks are key.	Wie jeder Bauarbeiter Ihnen sagen wird, ist das Graben harte Arbeit und Teepausen sind der Schlüssel.	"any; you"	"DET; PRON"
50	boss	The irony of this metaphor being solemnly valorised by the boss of a powerful tech corporation seems to be lost on the industry.	Die Ironie dieser Metapher, die feierlich vom Chef eines mächtigen Tech-Unternehmens gewertet wird, scheint auf der Branche verloren zu sein.	valorised	VERB
51	driver	Police are appealing for help to locate a ute driver who they believe picked up Everleigh and helped her to leave the area.	Die Polizei bittet um Hilfe, um einen Fahrer zu finden, von dem sie glauben, dass er Everleigh abgeholt hat, und half ihr, die Gegend zu verlassen.	"ute; locate"	"NOUN; VERB"
52	idiot	But there aren't any checks to prevent an unqualified idiot from buying a bin and installing it.	Aber es gibt keine Kontrollen, um einen unqualifizierten Idioten daran zu hindern, einen Mülleimer zu kaufen und ihn zu installieren.	prevent	VERB
53	cook	I always call myself a cook.	Ich nenne mich immer Koch.	myself	PRON
54	filmmaker	It appears the filmmaker is going to be making a much more elegiac and sobering gangster movie this time around.	Es scheint, dass der Filmemacher dieses Mal einen viel elegischeren und ernüchternderen Gangsterfilm drehen wird.	movie	NOUN
55	admirer	At that point, you'll attract an admirer who is worthy of your affection.	An diesem Punkt werden Sie einen Bewunderer anziehen, der Ihrer Zuneigung würdig ist.	attract	VERB
56	follower	"I cant even deal with this, one follower wrote alongside two fire emojis, while another wrote: ""Love the hair x."""	"Ich kann nicht einmal damit umgehen, schrieb ein Anhänger neben zwei Feuer-Emojis, während ein anderer schrieb: ""Liebe die Haare x."""	"one; another"	"NUM; PRON"
57	salesperson	The wine salesperson on the floor might actually have tasted the wines and be able to point out intelligently which ones are fit for tonight’s dinner and which ones should be socked away.	Der Weinverkäufer auf dem Boden könnte tatsächlich die Weine probiert haben und in der Lage sein, intelligent darauf hinzuweisen, welche für das Abendessen heute Abend geeignet sind und welche weggestopft werden sollten.	"tonight's; wine"	"NOUN; NOUN"
58	buddy	"In the video, one of the Marines looked down at the bodies and quipped, ""Have a good day, buddy."""	"In dem Video schaute einer der Marines auf die Leichen und quippete: ""Habe einen guten Tag, Kumpel."""	Have	VERB
59	winner	There will be a roughly 90-minute inspection after the race and the winner will not be deemed official until the process is completed.	Es wird eine etwa 90-minütige Inspektion nach dem Rennen geben und der Gewinner wird erst als offiziell gelten, wenn der Prozess abgeschlossen ist.	"race; deemed"	"NOUN; VERB"
