ID	target_word	EN_source	OPUS-MT_DE	OPUS-MT_contrastive	original_HelsinkiMT_translation_gender	edited_HelsinkiMT_translation_gender
52	idiot	But there aren't any checks to prevent an unqualified idiot from buying a bin and installing it.	Aber es gibt keine Kontrollen, um einen unqualifizierten Idioten daran zu hindern, einen Mülleimer zu kaufen und ihn zu installieren.	Aber es gibt keine Kontrollen, um eine unqualifizierte Idiotin daran zu hindern, einen Mülleimer zu kaufen und ihn zu installieren.	male	female
53	cook	I always call myself a cook.	Ich nenne mich immer Koch.	Ich nenne mich immer Köchin.	male	female
54	filmmaker	It appears the filmmaker is going to be making a much more elegiac and sobering gangster movie this time around.	Es scheint, dass der Filmemacher dieses Mal einen viel elegischeren und ernüchternderen Gangsterfilm drehen wird.	Es scheint, dass die Filmemacherin dieses Mal einen viel elegischeren und ernüchternderen Gangsterfilm drehen wird.	male	female
55	admirer	At that point, you'll attract an admirer who is worthy of your affection.	An diesem Punkt werden Sie einen Bewunderer anziehen, der Ihrer Zuneigung würdig ist.	An diesem Punkt werden Sie eine Bewunderin anziehen, die Ihrer Zuneigung würdig ist.	male	female
56	follower	"I cant even deal with this, one follower wrote alongside two fire emojis, while another wrote: ""Love the hair x."""	"Ich kann nicht einmal damit umgehen, schrieb ein Anhänger neben zwei Feuer-Emojis, während ein anderer schrieb: ""Liebe die Haare x."""	"Ich kann nicht einmal damit umgehen, schrieb eine Anhängerin neben zwei Feuer-Emojis, während ein anderer schrieb: ""Liebe die Haare x."""	male	female
57	salesperson	The wine salesperson on the floor might actually have tasted the wines and be able to point out intelligently which ones are fit for tonight’s dinner and which ones should be socked away.	Der Weinverkäufer auf dem Boden könnte tatsächlich die Weine probiert haben und in der Lage sein, intelligent darauf hinzuweisen, welche für das Abendessen heute Abend geeignet sind und welche weggestopft werden sollten.	Die Weinverkäuferin auf dem Boden könnte tatsächlich die Weine probiert haben und in der Lage sein, intelligent darauf hinzuweisen, welche für das Abendessen heute Abend geeignet sind und welche weggestopft werden sollten.	male	female
58	buddy	"In the video, one of the Marines looked down at the bodies and quipped, ""Have a good day, buddy."""	"In dem Video schaute einer der Marines auf die Leichen und quippete: ""Habe einen guten Tag, Kumpel."""	"In dem Video schaute einer der Marines auf die Leichen und quippete: ""Habe einen guten Tag, Kumpelin."""	male	female
59	winner	There will be a roughly 90-minute inspection after the race and the winner will not be deemed official until the process is completed.	Es wird eine etwa 90-minütige Inspektion nach dem Rennen geben und der Gewinner wird erst als offiziell gelten, wenn der Prozess abgeschlossen ist.	Es wird eine etwa 90-minütige Inspektion nach dem Rennen geben und die Gewinnerin wird erst als offiziell gelten, wenn der Prozess abgeschlossen ist.	male	female
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
